combo,disc,mod,ev1,ev2,mgap,pin,pout
degree-betweenness,80081,0.580715280946676,102.2702102033131,75.51975372792691,0.8653759035669969,0.4,0.0276734693877551
degree-closeness,33227,0.580715280946676,102.2702102033131,75.51975372792691,0.8653759035669969,0.4,0.0276734693877551
degree-eigenvector,22911,0.580715280946676,102.2702102033131,75.51975372792691,0.8653759035669969,0.4,0.0276734693877551
betweenness-closeness,65664,0.580715280946676,102.2702102033131,75.51975372792691,0.8653759035669969,0.4,0.0276734693877551
betweenness-eigenvector,97312,0.580715280946676,102.2702102033131,75.51975372792691,0.8653759035669969,0.4,0.0276734693877551
closeness-eigenvector,49464,0.580715280946676,102.2702102033131,75.51975372792691,0.8653759035669969,0.4,0.0276734693877551
degree-betweenness,83088,0.5858960511224408,102.52025725281365,76.17996380531025,0.8670817701479052,0.4,0.0276734693877551
degree-closeness,35280,0.5858960511224408,102.52025725281365,76.17996380531025,0.8670817701479052,0.4,0.0276734693877551
degree-eigenvector,20293,0.5858960511224408,102.52025725281365,76.17996380531025,0.8670817701479052,0.4,0.0276734693877551
betweenness-closeness,66677,0.5858960511224408,102.52025725281365,76.17996380531025,0.8670817701479052,0.4,0.0276734693877551
betweenness-eigenvector,98057,0.5858960511224408,102.52025725281365,76.17996380531025,0.8670817701479052,0.4,0.0276734693877551
closeness-eigenvector,49678,0.5858960511224408,102.52025725281365,76.17996380531025,0.8670817701479052,0.4,0.0276734693877551
degree-betweenness,80857,0.5809161948220467,103.07162719926683,76.00512716485726,0.8660138383956842,0.4,0.0276734693877551
degree-closeness,31731,0.5809161948220467,103.07162719926683,76.00512716485726,0.8660138383956842,0.4,0.0276734693877551
degree-eigenvector,33590,0.5809161948220467,103.07162719926683,76.00512716485726,0.8660138383956842,0.4,0.0276734693877551
betweenness-closeness,63377,0.5809161948220467,103.07162719926683,76.00512716485726,0.8660138383956842,0.4,0.0276734693877551
betweenness-eigenvector,102911,0.5809161948220467,103.07162719926683,76.00512716485726,0.8660138383956842,0.4,0.0276734693877551
closeness-eigenvector,56548,0.5809161948220467,103.07162719926683,76.00512716485726,0.8660138383956842,0.4,0.0276734693877551
degree-betweenness,83376,0.582805497882796,102.53973079960123,75.65882268295343,0.8668734905456617,0.4,0.0276734693877551
degree-closeness,33119,0.582805497882796,102.53973079960123,75.65882268295343,0.8668734905456617,0.4,0.0276734693877551
degree-eigenvector,30624,0.582805497882796,102.53973079960123,75.65882268295343,0.8668734905456617,0.4,0.0276734693877551
betweenness-closeness,69576,0.582805497882796,102.53973079960123,75.65882268295343,0.8668734905456617,0.4,0.0276734693877551
betweenness-eigenvector,102870,0.582805497882796,102.53973079960123,75.65882268295343,0.8668734905456617,0.4,0.0276734693877551
closeness-eigenvector,52327,0.582805497882796,102.53973079960123,75.65882268295343,0.8668734905456617,0.4,0.0276734693877551
degree-betweenness,85232,0.5832074695755318,102.19496298069248,75.83161792197252,0.8668203582195425,0.4,0.0276734693877551
degree-closeness,34716,0.5832074695755318,102.19496298069248,75.83161792197252,0.8668203582195425,0.4,0.0276734693877551
degree-eigenvector,26492,0.5832074695755318,102.19496298069248,75.83161792197252,0.8668203582195425,0.4,0.0276734693877551
betweenness-closeness,67416,0.5832074695755318,102.19496298069248,75.83161792197252,0.8668203582195425,0.4,0.0276734693877551
betweenness-eigenvector,102661,0.5832074695755318,102.19496298069248,75.83161792197252,0.8668203582195425,0.4,0.0276734693877551
closeness-eigenvector,52182,0.5832074695755318,102.19496298069248,75.83161792197252,0.8668203582195425,0.4,0.0276734693877551
degree-betweenness,87098,0.5808606939787144,102.64280815179902,75.80627888279678,0.8658543763611749,0.4,0.0276734693877551
