combo,disc,id,n,dens,diameter,ev1,ev2,spec_gap,mgap,modularity,core,assort,ccoef,glob_eff
betweenness-eigenvector,96,movie_331,44,0.2441860465116279,4,16.66404594706103,5.435351190752953,0.32617235982306947,0.1341991341991342,0.24190888476602762,0.8541241211300769,-0.23533697118389874,0.6198547215496368,0.8715940668707925
closeness-eigenvector,44,movie_331,44,0.2441860465116279,4,16.66404594706103,5.435351190752953,0.32617235982306947,0.1341991341991342,0.24190888476602762,0.8541241211300769,-0.23533697118389874,0.6198547215496368,0.8715940668707925
degree-betweenness,2,movie_333,39,0.16329284750337383,3,10.382459177283057,4.595620090308594,0.44263309990795485,0.19834710743801653,0.34802950618127176,0.7267497825139577,-0.40151484427342476,0.41973490427098675,0.8084084400735255
degree-closeness,94,movie_333,39,0.16329284750337383,3,10.382459177283057,4.595620090308594,0.44263309990795485,0.19834710743801653,0.34802950618127176,0.7267497825139577,-0.40151484427342476,0.41973490427098675,0.8084084400735255
degree-eigenvector,40,movie_333,39,0.16329284750337383,3,10.382459177283057,4.595620090308594,0.44263309990795485,0.19834710743801653,0.34802950618127176,0.7267497825139577,-0.40151484427342476,0.41973490427098675,0.8084084400735255
betweenness-closeness,2,movie_333,39,0.16329284750337383,3,10.382459177283057,4.595620090308594,0.44263309990795485,0.19834710743801653,0.34802950618127176,0.7267497825139577,-0.40151484427342476,0.41973490427098675,0.8084084400735255
betweenness-eigenvector,12,movie_333,39,0.16329284750337383,3,10.382459177283057,4.595620090308594,0.44263309990795485,0.19834710743801653,0.34802950618127176,0.7267497825139577,-0.40151484427342476,0.41973490427098675,0.8084084400735255
closeness-eigenvector,85,movie_333,39,0.16329284750337383,3,10.382459177283057,4.595620090308594,0.44263309990795485,0.19834710743801653,0.34802950618127176,0.7267497825139577,-0.40151484427342476,0.41973490427098675,0.8084084400735255
degree-betweenness,16,movie_335,38,0.12944523470839261,5,8.737405793168387,3.610520179321519,0.4132256489843378,0.2087912087912088,0.3514672141045768,0.7614813545128599,-0.32003419061266547,0.3712121212121212,0.6517419328177843
degree-closeness,43,movie_335,38,0.12944523470839261,5,8.737405793168387,3.610520179321519,0.4132256489843378,0.2087912087912088,0.3514672141045768,0.7614813545128599,-0.32003419061266547,0.3712121212121212,0.6517419328177843
degree-eigenvector,30,movie_335,38,0.12944523470839261,5,8.737405793168387,3.610520179321519,0.4132256489843378,0.2087912087912088,0.3514672141045768,0.7614813545128599,-0.32003419061266547,0.3712121212121212,0.6517419328177843
betweenness-closeness,36,movie_335,38,0.12944523470839261,5,8.737405793168387,3.610520179321519,0.4132256489843378,0.2087912087912088,0.3514672141045768,0.7614813545128599,-0.32003419061266547,0.3712121212121212,0.6517419328177843
betweenness-eigenvector,42,movie_335,38,0.12944523470839261,5,8.737405793168387,3.610520179321519,0.4132256489843378,0.2087912087912088,0.3514672141045768,0.7614813545128599,-0.32003419061266547,0.3712121212121212,0.6517419328177843
closeness-eigenvector,29,movie_335,38,0.12944523470839261,5,8.737405793168387,3.610520179321519,0.4132256489843378,0.2087912087912088,0.3514672141045768,0.7614813545128599,-0.32003419061266547,0.3712121212121212,0.6517419328177843
degree-betweenness,21,movie_336,35,0.24873949579831933,3,13.15557053945681,4.436221945344999,0.3372124327135545,0.08783783783783784,0.21021274653031413,0.8902331912693686,-0.42477937077610195,0.5516717325227963,0.8108685198007448
degree-closeness,23,movie_336,35,0.24873949579831933,3,13.15557053945681,4.436221945344999,0.3372124327135545,0.08783783783783784,0.21021274653031413,0.8902331912693686,-0.42477937077610195,0.5516717325227963,0.8108685198007448
degree-eigenvector,11,movie_336,35,0.24873949579831933,3,13.15557053945681,4.436221945344999,0.3372124327135545,0.08783783783783784,0.21021274653031413,0.8902331912693686,-0.42477937077610195,0.5516717325227963,0.8108685198007448
betweenness-closeness,21,movie_336,35,0.24873949579831933,3,13.15557053945681,4.436221945344999,0.3372124327135545,0.08783783783783784,0.21021274653031413,0.8902331912693686,-0.42477937077610195,0.5516717325227963,0.8108685198007448
betweenness-eigenvector,28,movie_336,35,0.24873949579831933,3,13.15557053945681,4.436221945344999,0.3372124327135545,0.08783783783783784,0.21021274653031413,0.8902331912693686,-0.42477937077610195,0.5516717325227963,0.8108685198007448
closeness-eigenvector,25,movie_336,35,0.24873949579831933,3,13.15557053945681,4.436221945344999,0.3372124327135545,0.08783783783783784,0.21021274653031413,0.8902331912693686,-0.42477937077610195,0.5516717325227963,0.8108685198007448
degree-betweenness,31,movie_338,42,0.13008130081300812,5,8.422333835139176,5.1413129995850095,0.6104380448723986,0.35714285714285715,0.42095822704081637,0.5249408437851429,-0.24470434094994303,0.3745819397993311,0.7976853537153743
degree-closeness,100,movie_338,42,0.13008130081300812,5,8.422333835139176,5.1413129995850095,0.6104380448723986,0.35714285714285715,0.42095822704081637,0.5249408437851429,-0.24470434094994303,0.3745819397993311,0.7976853537153743
degree-eigenvector,78,movie_338,42,0.13008130081300812,5,8.422333835139176,5.1413129995850095,0.6104380448723986,0.35714285714285715,0.42095822704081637,0.5249408437851429,-0.24470434094994303,0.3745819397993311,0.7976853537153743
betweenness-closeness,56,movie_338,42,0.13008130081300812,5,8.422333835139176,5.1413129995850095,0.6104380448723986,0.35714285714285715,0.42095822704081637,0.5249408437851429,-0.24470434094994303,0.3745819397993311,0.7976853537153743
