combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
betweenness-closeness,980009,6,5000,0.00248497699539908,6,13.522884154015578,7.35892835432097,0.9901790314270994,0.0025
betweenness-eigenvector,1044202,6,5000,0.00248497699539908,6,13.522884154015578,7.35892835432097,0.9901790314270994,0.0025
closeness-eigenvector,259307,6,5000,0.00248497699539908,6,13.522884154015578,7.35892835432097,0.9901790314270994,0.0025
degree-betweenness,17457,6,5000,0.005015803160632127,4,26.094355741763962,10.20183925773816,0.9868070511286592,0.005
degree-closeness,472144,6,5000,0.005015803160632127,4,26.094355741763962,10.20183925773816,0.9868070511286592,0.005
degree-eigenvector,470684,6,5000,0.005015803160632127,4,26.094355741763962,10.20183925773816,0.9868070511286592,0.005
betweenness-closeness,863423,6,5000,0.005015803160632127,4,26.094355741763962,10.20183925773816,0.9868070511286592,0.005
betweenness-eigenvector,928146,6,5000,0.005015803160632127,4,26.094355741763962,10.20183925773816,0.9868070511286592,0.005
closeness-eigenvector,323264,6,5000,0.005015803160632127,4,26.094355741763962,10.20183925773816,0.9868070511286592,0.005
degree-betweenness,155265,6,5000,0.0012591318263652732,9,7.415116901294313,5.3957655260037045,0.9925012709710218,0.00125
degree-closeness,919230,6,5000,0.0012591318263652732,9,7.415116901294313,5.3957655260037045,0.9925012709710218,0.00125
degree-eigenvector,970885,6,5000,0.0012591318263652732,9,7.415116901294313,5.3957655260037045,0.9925012709710218,0.00125
betweenness-closeness,1215226,6,5000,0.0012591318263652732,9,7.415116901294313,5.3957655260037045,0.9925012709710218,0.00125
betweenness-eigenvector,1296730,6,5000,0.0012591318263652732,9,7.415116901294313,5.3957655260037045,0.9925012709710218,0.00125
closeness-eigenvector,305324,6,5000,0.0012591318263652732,9,7.415116901294313,5.3957655260037045,0.9925012709710218,0.00125
degree-betweenness,32143,6,5000,0.002499699939987998,6,13.53736253691223,7.328317161014182,0.9903649167733675,0.0025
degree-closeness,641339,6,5000,0.002499699939987998,6,13.53736253691223,7.328317161014182,0.9903649167733675,0.0025
degree-eigenvector,670419,6,5000,0.002499699939987998,6,13.53736253691223,7.328317161014182,0.9903649167733675,0.0025
betweenness-closeness,982374,6,5000,0.002499699939987998,6,13.53736253691223,7.328317161014182,0.9903649167733675,0.0025
